sub_region_2,variable,value
Sunshine Coast Regional,grocery_and_pharmacy_percent_change_from_baseline,1.0
Tablelands Regional,grocery_and_pharmacy_percent_change_from_baseline,
Toowoomba Regional,grocery_and_pharmacy_percent_change_from_baseline,5.0
Townsville City,grocery_and_pharmacy_percent_change_from_baseline,11.0
Western Downs Regional,grocery_and_pharmacy_percent_change_from_baseline,
Whitsunday Regional,grocery_and_pharmacy_percent_change_from_baseline,12.0
Adelaide City Council,grocery_and_pharmacy_percent_change_from_baseline,4.0
Adelaide Hills Council,grocery_and_pharmacy_percent_change_from_baseline,
Alexandrina Council,grocery_and_pharmacy_percent_change_from_baseline,
Campbelltown City Council,grocery_and_pharmacy_percent_change_from_baseline,9.0
City of Burnside,grocery_and_pharmacy_percent_change_from_baseline,12.0
City of Charles Sturt,grocery_and_pharmacy_percent_change_from_baseline,13.0
City of Holdfast Bay,grocery_and_pharmacy_percent_change_from_baseline,-3.0
City of Marion,grocery_and_pharmacy_percent_change_from_baseline,14.0
City of Mitcham,grocery_and_pharmacy_percent_change_from_baseline,-1.0
City of Mount Gambier,grocery_and_pharmacy_percent_change_from_baseline,16.0
City of Onkaparinga,grocery_and_pharmacy_percent_change_from_baseline,18.0
City of Playford,grocery_and_pharmacy_percent_change_from_baseline,46.0
City of Port Adelaide Enfield,grocery_and_pharmacy_percent_change_from_baseline,23.0
City of Port Lincoln,grocery_and_pharmacy_percent_change_from_baseline,
City of Prospect,grocery_and_pharmacy_percent_change_from_baseline,26.0
City of Salisbury,grocery_and_pharmacy_percent_change_from_baseline,31.0
City of Tea Tree Gully,grocery_and_pharmacy_percent_change_from_baseline,7.0
City of Unley,grocery_and_pharmacy_percent_change_from_baseline,
City of Victor Harbor,grocery_and_pharmacy_percent_change_from_baseline,0.0
City of West Torrens,grocery_and_pharmacy_percent_change_from_baseline,20.0
District Council of Loxton Waikerie,grocery_and_pharmacy_percent_change_from_baseline,
District Council of Mallala,grocery_and_pharmacy_percent_change_from_baseline,
District Council of Mount Barker,grocery_and_pharmacy_percent_change_from_baseline,26.0
District Council of the Copper Coast,grocery_and_pharmacy_percent_change_from_baseline,
Light Regional Council,grocery_and_pharmacy_percent_change_from_baseline,
Port Augusta City Council,grocery_and_pharmacy_percent_change_from_baseline,
Port Pirie Regional Council,grocery_and_pharmacy_percent_change_from_baseline,24.0
Renmark Paringa Council,grocery_and_pharmacy_percent_change_from_baseline,
The Barossa Council,grocery_and_pharmacy_percent_change_from_baseline,
The Berri Barmera Council,grocery_and_pharmacy_percent_change_from_baseline,
The City of Norwood Payneham and St Peters,grocery_and_pharmacy_percent_change_from_baseline,30.0
The Corporation of the City of Whyalla,grocery_and_pharmacy_percent_change_from_baseline,
The Rural City of Murray Bridge,grocery_and_pharmacy_percent_change_from_baseline,3.0
Town of Gawler,grocery_and_pharmacy_percent_change_from_baseline,10.0
Break O'Day Council,grocery_and_pharmacy_percent_change_from_baseline,
Brighton Council,grocery_and_pharmacy_percent_change_from_baseline,40.0
Burnie City Council,grocery_and_pharmacy_percent_change_from_baseline,0.0
Central Coast Council,grocery_and_pharmacy_percent_change_from_baseline,
Clarence City Council,grocery_and_pharmacy_percent_change_from_baseline,33.0
Derwent Valley Council,grocery_and_pharmacy_percent_change_from_baseline,
Devonport City Council,grocery_and_pharmacy_percent_change_from_baseline,-7.0
Glamorgan-Spring Bay Council,grocery_and_pharmacy_percent_change_from_baseline,
Glenorchy City Council,grocery_and_pharmacy_percent_change_from_baseline,9.0
Hobart City Council,grocery_and_pharmacy_percent_change_from_baseline,-6.0
Huon Valley Council,grocery_and_pharmacy_percent_change_from_baseline,
Kingborough Council,grocery_and_pharmacy_percent_change_from_baseline,
Latrobe Council,grocery_and_pharmacy_percent_change_from_baseline,
Launceston City Council,grocery_and_pharmacy_percent_change_from_baseline,-5.0
Meander Valley Council,grocery_and_pharmacy_percent_change_from_baseline,
Northern Midlands Council,grocery_and_pharmacy_percent_change_from_baseline,
Sorell Council,grocery_and_pharmacy_percent_change_from_baseline,
Waratah-Wynyard Council,grocery_and_pharmacy_percent_change_from_baseline,
West Tamar Council,grocery_and_pharmacy_percent_change_from_baseline,
Alpine Shire,grocery_and_pharmacy_percent_change_from_baseline,
Ballarat City,grocery_and_pharmacy_percent_change_from_baseline,6.0
Banyule City,grocery_and_pharmacy_percent_change_from_baseline,-9.0
Bass Coast Shire,grocery_and_pharmacy_percent_change_from_baseline,-20.0
Baw Baw Shire,grocery_and_pharmacy_percent_change_from_baseline,-6.0
Bayside City,grocery_and_pharmacy_percent_change_from_baseline,-10.0
Benalla Rural City,grocery_and_pharmacy_percent_change_from_baseline,
Boroondara City,grocery_and_pharmacy_percent_change_from_baseline,-16.0
Brimbank City,grocery_and_pharmacy_percent_change_from_baseline,6.0
Campaspe Shire,grocery_and_pharmacy_percent_change_from_baseline,-5.0
Cardinia Shire,grocery_and_pharmacy_percent_change_from_baseline,5.0
Central Goldfields Shire,grocery_and_pharmacy_percent_change_from_baseline,
City of Casey,grocery_and_pharmacy_percent_change_from_baseline,11.0
City of Hume,grocery_and_pharmacy_percent_change_from_baseline,14.0
City of Knox,grocery_and_pharmacy_percent_change_from_baseline,3.0
City of Maribyrnong,grocery_and_pharmacy_percent_change_from_baseline,-11.0
City of Wyndham,grocery_and_pharmacy_percent_change_from_baseline,22.0
City of Yarra,grocery_and_pharmacy_percent_change_from_baseline,-8.0
Colac Otway Shire,grocery_and_pharmacy_percent_change_from_baseline,
Corangamite Shire,grocery_and_pharmacy_percent_change_from_baseline,
Darebin City,grocery_and_pharmacy_percent_change_from_baseline,-8.0
East Gippsland Shire,grocery_and_pharmacy_percent_change_from_baseline,9.0
Frankston City,grocery_and_pharmacy_percent_change_from_baseline,8.0
Glen Eira City,grocery_and_pharmacy_percent_change_from_baseline,-6.0
Glenelg Shire,grocery_and_pharmacy_percent_change_from_baseline,
Golden Plains Shire,grocery_and_pharmacy_percent_change_from_baseline,
Greater Bendigo City,grocery_and_pharmacy_percent_change_from_baseline,-8.0
Greater Dandenong City,grocery_and_pharmacy_percent_change_from_baseline,-12.0
Greater Geelong City,grocery_and_pharmacy_percent_change_from_baseline,-4.0
Greater Shepparton City,grocery_and_pharmacy_percent_change_from_baseline,5.0
Hepburn Shire,grocery_and_pharmacy_percent_change_from_baseline,
Hobsons Bay City,grocery_and_pharmacy_percent_change_from_baseline,-2.0
Horsham Rural City,grocery_and_pharmacy_percent_change_from_baseline,1.0
Indigo Shire,grocery_and_pharmacy_percent_change_from_baseline,
Kingston City,grocery_and_pharmacy_percent_change_from_baseline,15.0
Latrobe City,grocery_and_pharmacy_percent_change_from_baseline,-10.0
Macedon Ranges Shire,grocery_and_pharmacy_percent_change_from_baseline,-14.0
Manningham City,grocery_and_pharmacy_percent_change_from_baseline,3.0
Maroondah City,grocery_and_pharmacy_percent_change_from_baseline,4.0
Melbourne City,grocery_and_pharmacy_percent_change_from_baseline,-29.0
Melton City,grocery_and_pharmacy_percent_change_from_baseline,14.0
Mildura Rural City,grocery_and_pharmacy_percent_change_from_baseline,-1.0
Mitchell Shire,grocery_and_pharmacy_percent_change_from_baseline,-1.0
Moira Shire,grocery_and_pharmacy_percent_change_from_baseline,-13.0
Monash City,grocery_and_pharmacy_percent_change_from_baseline,10.0
Moonee Valley City,grocery_and_pharmacy_percent_change_from_baseline,7.0
Moorabool Shire,grocery_and_pharmacy_percent_change_from_baseline,
Moreland City,grocery_and_pharmacy_percent_change_from_baseline,-3.0
Mount Alexander Shire,grocery_and_pharmacy_percent_change_from_baseline,
Moyne Shire,grocery_and_pharmacy_percent_change_from_baseline,
Murrindindi Shire,grocery_and_pharmacy_percent_change_from_baseline,
Nillumbik Shire,grocery_and_pharmacy_percent_change_from_baseline,
Northern Grampians Shire,grocery_and_pharmacy_percent_change_from_baseline,
Port Phillip City,grocery_and_pharmacy_percent_change_from_baseline,-22.0
Shire of Mornington Peninsula,grocery_and_pharmacy_percent_change_from_baseline,-13.0
South Gippsland Shire,grocery_and_pharmacy_percent_change_from_baseline,
Southern Grampians Shire,grocery_and_pharmacy_percent_change_from_baseline,
Stonnington City,grocery_and_pharmacy_percent_change_from_baseline,13.0
Surf Coast Shire,grocery_and_pharmacy_percent_change_from_baseline,-36.0
Swan Hill Rural City,grocery_and_pharmacy_percent_change_from_baseline,
Wangaratta Rural City,grocery_and_pharmacy_percent_change_from_baseline,-10.0
Warrnambool City,grocery_and_pharmacy_percent_change_from_baseline,-12.0
Wellington Shire,grocery_and_pharmacy_percent_change_from_baseline,0.0
Whitehorse City,grocery_and_pharmacy_percent_change_from_baseline,4.0
Whittlesea City,grocery_and_pharmacy_percent_change_from_baseline,5.0
Wodonga City,grocery_and_pharmacy_percent_change_from_baseline,7.0
Yarra Ranges Shire,grocery_and_pharmacy_percent_change_from_baseline,10.0
City of Albany,grocery_and_pharmacy_percent_change_from_baseline,9.0
City of Armadale,grocery_and_pharmacy_percent_change_from_baseline,-12.0
City of Bayswater,grocery_and_pharmacy_percent_change_from_baseline,-1.0
City of Belmont,grocery_and_pharmacy_percent_change_from_baseline,10.0
City of Bunbury,grocery_and_pharmacy_percent_change_from_baseline,9.0
City of Busselton,grocery_and_pharmacy_percent_change_from_baseline,-21.0
City of Canning,grocery_and_pharmacy_percent_change_from_baseline,10.0
City of Cockburn,grocery_and_pharmacy_percent_change_from_baseline,-5.0
City of Fremantle,grocery_and_pharmacy_percent_change_from_baseline,-20.0
City of Gosnells,grocery_and_pharmacy_percent_change_from_baseline,13.0
City of Greater Geraldton,grocery_and_pharmacy_percent_change_from_baseline,9.0
City of Joondalup,grocery_and_pharmacy_percent_change_from_baseline,5.0
City of Kalamunda,grocery_and_pharmacy_percent_change_from_baseline,16.0
City of Kalgoorlie-Boulder,grocery_and_pharmacy_percent_change_from_baseline,18.0
City of Karratha,grocery_and_pharmacy_percent_change_from_baseline,
City of Kwinana,grocery_and_pharmacy_percent_change_from_baseline,43.0
City of Mandurah,grocery_and_pharmacy_percent_change_from_baseline,10.0
City of Melville,grocery_and_pharmacy_percent_change_from_baseline,4.0
City of Nedlands,grocery_and_pharmacy_percent_change_from_baseline,
City of Perth,grocery_and_pharmacy_percent_change_from_baseline,-30.0
City of Rockingham,grocery_and_pharmacy_percent_change_from_baseline,12.0
City of South Perth,grocery_and_pharmacy_percent_change_from_baseline,
City of Stirling,grocery_and_pharmacy_percent_change_from_baseline,13.0
City of Subiaco,grocery_and_pharmacy_percent_change_from_baseline,
City of Swan,grocery_and_pharmacy_percent_change_from_baseline,44.0
City of Vincent,grocery_and_pharmacy_percent_change_from_baseline,13.0
City of Wanneroo,grocery_and_pharmacy_percent_change_from_baseline,19.0
Shire of Ashburton,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Augusta-Margaret River,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Broome,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Capel,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Dardanup,grocery_and_pharmacy_percent_change_from_baseline,
Shire of East Pilbara,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Esperance,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Harvey,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Mundaring,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Murray,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Northam,grocery_and_pharmacy_percent_change_from_baseline,
Shire of Serpentine-Jarrahdale,grocery_and_pharmacy_percent_change_from_baseline,
Town of Bassendean,grocery_and_pharmacy_percent_change_from_baseline,
Town of Cambridge,grocery_and_pharmacy_percent_change_from_baseline,
Town of Claremont,grocery_and_pharmacy_percent_change_from_baseline,
Town of Cottesloe,grocery_and_pharmacy_percent_change_from_baseline,
Town of Port Hedland,grocery_and_pharmacy_percent_change_from_baseline,
Town of Victoria Park,grocery_and_pharmacy_percent_change_from_baseline,15.0
Armidale Dumaresq Council,parks_percent_change_from_baseline,
Ballina Shire Council,parks_percent_change_from_baseline,-13.0
Bankstown City Council,parks_percent_change_from_baseline,39.0
Bathurst Regional Council,parks_percent_change_from_baseline,
Bayside Council,parks_percent_change_from_baseline,-10.0
Bega Valley Shire Council,parks_percent_change_from_baseline,-3.0
Bellingen Shire Council,parks_percent_change_from_baseline,
Blue Mountains City Council,parks_percent_change_from_baseline,7.0
Broken Hill City Council,parks_percent_change_from_baseline,
Burwood Council,parks_percent_change_from_baseline,
Byron Shire Council,parks_percent_change_from_baseline,-48.0
Cabonne Shire Council,parks_percent_change_from_baseline,
Camden Council,parks_percent_change_from_baseline,38.0
Campbelltown City Council,parks_percent_change_from_baseline,50.0
Canterbury City Council,parks_percent_change_from_baseline,15.0
Cessnock City Council,parks_percent_change_from_baseline,18.0
City of Albury,parks_percent_change_from_baseline,-12.0
City of Blacktown,parks_percent_change_from_baseline,27.0
City of Canada Bay Council,parks_percent_change_from_baseline,34.0
City of Lake Macquarie,parks_percent_change_from_baseline,-9.0
City of Liverpool,parks_percent_change_from_baseline,20.0
City of Parramatta Council,parks_percent_change_from_baseline,10.0
City of Ryde,parks_percent_change_from_baseline,24.0
City of Shoalhaven,parks_percent_change_from_baseline,-20.0
City of Willoughby,parks_percent_change_from_baseline,29.0
Clarence Valley Council,parks_percent_change_from_baseline,-18.0
Coffs Harbour City Council,parks_percent_change_from_baseline,-28.0
Cooma-Monaro Council,parks_percent_change_from_baseline,
Corowa Shire Council,parks_percent_change_from_baseline,
Council of the City of Sydney,parks_percent_change_from_baseline,-25.0
Cowra Shire Council,parks_percent_change_from_baseline,
Cumberland Council,parks_percent_change_from_baseline,11.0
Dubbo City Council,parks_percent_change_from_baseline,
Eurobodalla Shire Council,parks_percent_change_from_baseline,-4.0
Fairfield City Council,parks_percent_change_from_baseline,45.0
Goulburn Mulwaree Council,parks_percent_change_from_baseline,
Griffith City Council,parks_percent_change_from_baseline,
Gunnedah Shire Council,parks_percent_change_from_baseline,
Hawkesbury City Council,parks_percent_change_from_baseline,
Hurstville City Council,parks_percent_change_from_baseline,50.0
Inner West Council,parks_percent_change_from_baseline,14.0
Inverell Shire Council,parks_percent_change_from_baseline,
Kempsey Shire Council,parks_percent_change_from_baseline,-16.0
Kogarah City Council,parks_percent_change_from_baseline,
Ku-ring-gai Council,parks_percent_change_from_baseline,31.0
Lane Cove Municipal Council,parks_percent_change_from_baseline,
Leeton Shire Council,parks_percent_change_from_baseline,
Lismore City Council,parks_percent_change_from_baseline,-10.0
Lithgow City Council,parks_percent_change_from_baseline,
Maitland City Council,parks_percent_change_from_baseline,8.0
Mid-Western Regional Council,parks_percent_change_from_baseline,
MidCoast Council,parks_percent_change_from_baseline,-33.0
Mosman Municipal Council,parks_percent_change_from_baseline,-37.0
Muswellbrook Shire Council,parks_percent_change_from_baseline,
Nambucca Shire Council,parks_percent_change_from_baseline,-34.0
Newcastle City Council,parks_percent_change_from_baseline,-5.0
North Sydney Council,parks_percent_change_from_baseline,-35.0
Northern Beaches Council,parks_percent_change_from_baseline,-28.0
Orange City Council,parks_percent_change_from_baseline,
Palerang Council,parks_percent_change_from_baseline,
Parkes Shire Council,parks_percent_change_from_baseline,
Penrith City Council,parks_percent_change_from_baseline,65.0
Port Macquarie-Hastings Council,parks_percent_change_from_baseline,-28.0
Port Stephens Council,parks_percent_change_from_baseline,-46.0
Queanbeyan City Council,parks_percent_change_from_baseline,
Randwick City Council,parks_percent_change_from_baseline,-12.0
Richmond Valley Council,parks_percent_change_from_baseline,
Shellharbour City Council,parks_percent_change_from_baseline,2.0
Singleton Shire Council,parks_percent_change_from_baseline,
Strathfield Municipal Council,parks_percent_change_from_baseline,14.0
Sutherland Shire,parks_percent_change_from_baseline,-23.0
Tamworth Regional Council,parks_percent_change_from_baseline,-5.0
The Council of the Municipality of Hunters Hill,parks_percent_change_from_baseline,
The Council of the Municipality of Kiama,parks_percent_change_from_baseline,-25.0
The Council of the Shire of Hornsby,parks_percent_change_from_baseline,39.0
The Hills Shire,parks_percent_change_from_baseline,62.0
Tumut Council,parks_percent_change_from_baseline,
Tweed Shire Council,parks_percent_change_from_baseline,-22.0
Wagga Wagga City Council,parks_percent_change_from_baseline,-13.0
Waverley Council,parks_percent_change_from_baseline,-48.0
Wingecarribee Shire Council,parks_percent_change_from_baseline,
Wollondilly Shire Council,parks_percent_change_from_baseline,
Wollongong City Council,parks_percent_change_from_baseline,-35.0
Woollahra Municipal Council,parks_percent_change_from_baseline,-29.0
Wyong Shire Council,parks_percent_change_from_baseline,-12.0
Yass Valley Council,parks_percent_change_from_baseline,
Young Shire Council,parks_percent_change_from_baseline,
Alice Springs Municipality,parks_percent_change_from_baseline,
Darwin Municipality,parks_percent_change_from_baseline,67.0
Katherine Municipality,parks_percent_change_from_baseline,
Litchfield Municipality,parks_percent_change_from_baseline,
Palmerston Municipality,parks_percent_change_from_baseline,
Banana Shire,parks_percent_change_from_baseline,
Brisbane City,parks_percent_change_from_baseline,-13.0
Bundaberg Regional,parks_percent_change_from_baseline,6.0
Burdekin Shire,parks_percent_change_from_baseline,
Cairns Regional,parks_percent_change_from_baseline,-24.0
Cassowary Coast Regional,parks_percent_change_from_baseline,-16.0
Central Highlands Regional,parks_percent_change_from_baseline,
City of Gold Coast,parks_percent_change_from_baseline,-20.0
City of Ipswich,parks_percent_change_from_baseline,34.0
Douglas Shire,parks_percent_change_from_baseline,12.0
Fraser Coast Regional,parks_percent_change_from_baseline,-14.0
Gladstone Regional,parks_percent_change_from_baseline,12.0
Gympie Regional,parks_percent_change_from_baseline,34.0
Isaac Regional,parks_percent_change_from_baseline,5.0
Livingstone Shire,parks_percent_change_from_baseline,
Lockyer Valley Regional,parks_percent_change_from_baseline,
Logan City,parks_percent_change_from_baseline,14.0
Mackay Regional,parks_percent_change_from_baseline,5.0
Maranoa Regional,parks_percent_change_from_baseline,
Mareeba Shire,parks_percent_change_from_baseline,18.0
Moreton Bay Region,parks_percent_change_from_baseline,-1.0
Mount Isa City,parks_percent_change_from_baseline,
Noosa Shire,parks_percent_change_from_baseline,-32.0
Redland City,parks_percent_change_from_baseline,-17.0
Rockhampton Regional,parks_percent_change_from_baseline,
Scenic Rim Regional,parks_percent_change_from_baseline,11.0
Somerset Regional,parks_percent_change_from_baseline,
South Burnett Regional,parks_percent_change_from_baseline,
Southern Downs Regional,parks_percent_change_from_baseline,
Sunshine Coast Regional,parks_percent_change_from_baseline,-5.0
Tablelands Regional,parks_percent_change_from_baseline,12.0
Toowoomba Regional,parks_percent_change_from_baseline,-12.0
Townsville City,parks_percent_change_from_baseline,-19.0
Western Downs Regional,parks_percent_change_from_baseline,
Whitsunday Regional,parks_percent_change_from_baseline,-17.0
Adelaide City Council,parks_percent_change_from_baseline,-22.0
Adelaide Hills Council,parks_percent_change_from_baseline,-14.0
Alexandrina Council,parks_percent_change_from_baseline,-8.0
Campbelltown City Council,parks_percent_change_from_baseline,
City of Burnside,parks_percent_change_from_baseline,
City of Charles Sturt,parks_percent_change_from_baseline,-34.0
City of Holdfast Bay,parks_percent_change_from_baseline,-28.0
City of Marion,parks_percent_change_from_baseline,6.0
City of Mitcham,parks_percent_change_from_baseline,-12.0
City of Mount Gambier,parks_percent_change_from_baseline,-24.0
City of Onkaparinga,parks_percent_change_from_baseline,-3.0
City of Playford,parks_percent_change_from_baseline,27.0
City of Port Adelaide Enfield,parks_percent_change_from_baseline,-21.0
City of Port Lincoln,parks_percent_change_from_baseline,
City of Prospect,parks_percent_change_from_baseline,
City of Salisbury,parks_percent_change_from_baseline,-12.0
City of Tea Tree Gully,parks_percent_change_from_baseline,-16.0
City of Unley,parks_percent_change_from_baseline,
City of Victor Harbor,parks_percent_change_from_baseline,-40.0
City of West Torrens,parks_percent_change_from_baseline,
District Council of Loxton Waikerie,parks_percent_change_from_baseline,
District Council of Mallala,parks_percent_change_from_baseline,
District Council of Mount Barker,parks_percent_change_from_baseline,
District Council of the Copper Coast,parks_percent_change_from_baseline,
Light Regional Council,parks_percent_change_from_baseline,
Port Augusta City Council,parks_percent_change_from_baseline,
Port Pirie Regional Council,parks_percent_change_from_baseline,
Renmark Paringa Council,parks_percent_change_from_baseline,
The Barossa Council,parks_percent_change_from_baseline,
The Berri Barmera Council,parks_percent_change_from_baseline,
The City of Norwood Payneham and St Peters,parks_percent_change_from_baseline,-15.0
The Corporation of the City of Whyalla,parks_percent_change_from_baseline,
The Rural City of Murray Bridge,parks_percent_change_from_baseline,
Town of Gawler,parks_percent_change_from_baseline,
Break O'Day Council,parks_percent_change_from_baseline,-47.0
Brighton Council,parks_percent_change_from_baseline,
Burnie City Council,parks_percent_change_from_baseline,
Central Coast Council,parks_percent_change_from_baseline,-50.0
Clarence City Council,parks_percent_change_from_baseline,-24.0
Derwent Valley Council,parks_percent_change_from_baseline,
Devonport City Council,parks_percent_change_from_baseline,
Glamorgan-Spring Bay Council,parks_percent_change_from_baseline,-44.0
Glenorchy City Council,parks_percent_change_from_baseline,
Hobart City Council,parks_percent_change_from_baseline,-6.0
Huon Valley Council,parks_percent_change_from_baseline,
Kingborough Council,parks_percent_change_from_baseline,23.0
Latrobe Council,parks_percent_change_from_baseline,
Launceston City Council,parks_percent_change_from_baseline,-12.0
Meander Valley Council,parks_percent_change_from_baseline,
Northern Midlands Council,parks_percent_change_from_baseline,
Sorell Council,parks_percent_change_from_baseline,
Waratah-Wynyard Council,parks_percent_change_from_baseline,
West Tamar Council,parks_percent_change_from_baseline,
Alpine Shire,parks_percent_change_from_baseline,
Ballarat City,parks_percent_change_from_baseline,19.0
Banyule City,parks_percent_change_from_baseline,34.0
Bass Coast Shire,parks_percent_change_from_baseline,-58.0
Baw Baw Shire,parks_percent_change_from_baseline,
Bayside City,parks_percent_change_from_baseline,-14.0
Benalla Rural City,parks_percent_change_from_baseline,
Boroondara City,parks_percent_change_from_baseline,16.0
Brimbank City,parks_percent_change_from_baseline,20.0
Campaspe Shire,parks_percent_change_from_baseline,-23.0
Cardinia Shire,parks_percent_change_from_baseline,-13.0
Central Goldfields Shire,parks_percent_change_from_baseline,
City of Casey,parks_percent_change_from_baseline,12.0
City of Hume,parks_percent_change_from_baseline,8.0
City of Knox,parks_percent_change_from_baseline,7.0
City of Maribyrnong,parks_percent_change_from_baseline,23.0
City of Wyndham,parks_percent_change_from_baseline,17.0
City of Yarra,parks_percent_change_from_baseline,-18.0
Colac Otway Shire,parks_percent_change_from_baseline,-50.0
Corangamite Shire,parks_percent_change_from_baseline,-72.0
Darebin City,parks_percent_change_from_baseline,11.0
East Gippsland Shire,parks_percent_change_from_baseline,-5.0
Frankston City,parks_percent_change_from_baseline,24.0
Glen Eira City,parks_percent_change_from_baseline,4.0
Glenelg Shire,parks_percent_change_from_baseline,-44.0
Golden Plains Shire,parks_percent_change_from_baseline,
Greater Bendigo City,parks_percent_change_from_baseline,-5.0
Greater Dandenong City,parks_percent_change_from_baseline,-16.0
Greater Geelong City,parks_percent_change_from_baseline,-20.0
Greater Shepparton City,parks_percent_change_from_baseline,-13.0
Hepburn Shire,parks_percent_change_from_baseline,
Hobsons Bay City,parks_percent_change_from_baseline,-29.0
Horsham Rural City,parks_percent_change_from_baseline,
Indigo Shire,parks_percent_change_from_baseline,
Kingston City,parks_percent_change_from_baseline,-16.0
Latrobe City,parks_percent_change_from_baseline,
Macedon Ranges Shire,parks_percent_change_from_baseline,
Manningham City,parks_percent_change_from_baseline,27.0
Maroondah City,parks_percent_change_from_baseline,-14.0
Melbourne City,parks_percent_change_from_baseline,-45.0
Melton City,parks_percent_change_from_baseline,38.0
Mildura Rural City,parks_percent_change_from_baseline,
Mitchell Shire,parks_percent_change_from_baseline,
Moira Shire,parks_percent_change_from_baseline,
Monash City,parks_percent_change_from_baseline,34.0
Moonee Valley City,parks_percent_change_from_baseline,15.0
Moorabool Shire,parks_percent_change_from_baseline,
Moreland City,parks_percent_change_from_baseline,11.0
Mount Alexander Shire,parks_percent_change_from_baseline,
Moyne Shire,parks_percent_change_from_baseline,-55.0
Murrindindi Shire,parks_percent_change_from_baseline,
Nillumbik Shire,parks_percent_change_from_baseline,
Northern Grampians Shire,parks_percent_change_from_baseline,-30.0
Port Phillip City,parks_percent_change_from_baseline,-54.0
Shire of Mornington Peninsula,parks_percent_change_from_baseline,-45.0
South Gippsland Shire,parks_percent_change_from_baseline,-53.0
Southern Grampians Shire,parks_percent_change_from_baseline,
Stonnington City,parks_percent_change_from_baseline,-29.0
Surf Coast Shire,parks_percent_change_from_baseline,-73.0
Swan Hill Rural City,parks_percent_change_from_baseline,
Wangaratta Rural City,parks_percent_change_from_baseline,
Warrnambool City,parks_percent_change_from_baseline,-48.0
Wellington Shire,parks_percent_change_from_baseline,-6.0
Whitehorse City,parks_percent_change_from_baseline,2.0
Whittlesea City,parks_percent_change_from_baseline,23.0
Wodonga City,parks_percent_change_from_baseline,
Yarra Ranges Shire,parks_percent_change_from_baseline,-12.0
City of Albany,parks_percent_change_from_baseline,2.0
City of Armadale,parks_percent_change_from_baseline,-21.0
City of Bayswater,parks_percent_change_from_baseline,-29.0
City of Belmont,parks_percent_change_from_baseline,-23.0
City of Bunbury,parks_percent_change_from_baseline,-59.0
City of Busselton,parks_percent_change_from_baseline,-67.0
City of Canning,parks_percent_change_from_baseline,-20.0
City of Cockburn,parks_percent_change_from_baseline,-44.0
City of Fremantle,parks_percent_change_from_baseline,-57.0
City of Gosnells,parks_percent_change_from_baseline,-14.0
City of Greater Geraldton,parks_percent_change_from_baseline,
City of Joondalup,parks_percent_change_from_baseline,-42.0
City of Kalamunda,parks_percent_change_from_baseline,3.0
City of Kalgoorlie-Boulder,parks_percent_change_from_baseline,
City of Karratha,parks_percent_change_from_baseline,-14.0
City of Kwinana,parks_percent_change_from_baseline,
City of Mandurah,parks_percent_change_from_baseline,-31.0
City of Melville,parks_percent_change_from_baseline,-32.0
City of Nedlands,parks_percent_change_from_baseline,-26.0
City of Perth,parks_percent_change_from_baseline,-58.0
City of Rockingham,parks_percent_change_from_baseline,12.0
City of South Perth,parks_percent_change_from_baseline,-32.0
City of Stirling,parks_percent_change_from_baseline,-37.0
City of Subiaco,parks_percent_change_from_baseline,
City of Swan,parks_percent_change_from_baseline,-33.0
City of Vincent,parks_percent_change_from_baseline,-25.0
City of Wanneroo,parks_percent_change_from_baseline,-34.0
Shire of Ashburton,parks_percent_change_from_baseline,21.0
Shire of Augusta-Margaret River,parks_percent_change_from_baseline,-64.0
Shire of Broome,parks_percent_change_from_baseline,
Shire of Capel,parks_percent_change_from_baseline,
Shire of Dardanup,parks_percent_change_from_baseline,
Shire of East Pilbara,parks_percent_change_from_baseline,5.0
Shire of Esperance,parks_percent_change_from_baseline,
Shire of Harvey,parks_percent_change_from_baseline,
Shire of Mundaring,parks_percent_change_from_baseline,
Shire of Murray,parks_percent_change_from_baseline,
Shire of Northam,parks_percent_change_from_baseline,
Shire of Serpentine-Jarrahdale,parks_percent_change_from_baseline,
Town of Bassendean,parks_percent_change_from_baseline,
Town of Cambridge,parks_percent_change_from_baseline,-35.0
Town of Claremont,parks_percent_change_from_baseline,
Town of Cottesloe,parks_percent_change_from_baseline,-57.0
Town of Port Hedland,parks_percent_change_from_baseline,
Town of Victoria Park,parks_percent_change_from_baseline,-12.0
Armidale Dumaresq Council,transit_stations_percent_change_from_baseline,
Ballina Shire Council,transit_stations_percent_change_from_baseline,1.0
Bankstown City Council,transit_stations_percent_change_from_baseline,-21.0
Bathurst Regional Council,transit_stations_percent_change_from_baseline,
Bayside Council,transit_stations_percent_change_from_baseline,-44.0
Bega Valley Shire Council,transit_stations_percent_change_from_baseline,
Bellingen Shire Council,transit_stations_percent_change_from_baseline,
Blue Mountains City Council,transit_stations_percent_change_from_baseline,-30.0
